0000-00-00 00:00:00.000000;cumulative_timer;0:00:00.000000
2021-12-25 06:54:46.656333;cumulative_timer;0:00:01.456021
2021-12-25 22:14:07.012134;cumulative_timer;0:00:03.756780
2021-12-25 22:57:53.962981;cumulative_timer;0:00:05.645177
2021-12-25 22:58:46.369684;cumulative_timer;0:00:10.989675
2021-12-25 23:46:38.583113;cumulative_timer;0:00:45.837172
2021-12-25 23:46:53.592657;cumulative_timer;0:00:56.991378
2021-12-25 23:47:23.402804;cumulative_timer;0:01:25.270303
2021-12-26 00:30:15.140560;cumulative_timer;0:00:09.849050
2021-12-26 00:30:26.429616;cumulative_timer;0:00:20.090100
2021-12-26 00:31:05.426960;cumulative_timer;0:00:30.012164
