0000-00-00 00:00:00.000000;cumulative_timer;0:00:00.000000
2021-12-23 00:02:48.570930;cumulative_timer;0:02:48.568976
2021-12-23 00:24:45.759231;cumulative_timer;0:24:44.894466
2021-12-23 00:27:05.229015;pushups;16
2021-12-23 00:55:12.804316;cumulative_timer;0:49:49.790402
2021-12-23 01:02:45.112982;pullups;6
2021-12-23 01:17:38.018032;cumulative_timer;1:04:30.678232
2021-12-23 05:54:28.258011;cumulative_timer;1:40:20.440497
2021-12-23 06:00:33.615208;squats;70
2021-12-23 06:26:13.572074;cumulative_timer;2:05:47.915561
2021-12-23 06:28:46.339676;pushups;16
2021-12-23 06:59:05.794758;cumulative_timer;2:30:51.955378
2021-12-23 08:08:54.476961;cumulative_timer;2:55:57.909352
2021-12-23 08:10:47.452937;pullups;5
2021-12-23 08:39:10.936731;cumulative_timer;3:21:11.432104
2021-12-23 09:22:03.351357;cumulative_timer;3:48:28.634778
2021-12-23 09:52:59.260503;cumulative_timer;4:11:19.408370
2021-12-23 10:36:10.029820;cumulative_timer;4:37:19.848673
2021-12-23 12:55:53.776335;cumulative_timer;4:43:15.005542
2021-12-23 13:22:08.095135;cumulative_timer;5:08:35.149719
2021-12-23 13:24:22.543039;pullups;5
2021-12-23 13:52:55.720618;cumulative_timer;5:35:08.288006
2021-12-23 13:55:24.676055;pushups;10
2021-12-23 14:21:59.711682;cumulative_timer;6:00:41.019745
2021-12-23 23:49:44.632314;cumulative_timer;6:07:34.304656
2021-12-23 23:59:59.999999;cumulative_timer;6:16:49.976423
2021-12-24 00:16:42.301887;cumulative_timer;0:16:42.299933
2021-12-24 00:20:11.788728;pushups;15
2021-12-24 00:57:47.425402;cumulative_timer;0:42:25.139441
2021-12-24 01:00:05.747651;pullups;7
2021-12-24 01:38:33.231177;cumulative_timer;1:08:18.125262
2021-12-24 02:32:14.651304;cumulative_timer;1:33:35.740872
2021-12-24 02:38:53.123909;squats;80
2021-12-24 03:04:41.889569;cumulative_timer;1:59:15.976768
2021-12-24 04:15:34.804492;cumulative_timer;2:24:26.054147
2021-12-24 05:06:51.916948;cumulative_timer;2:58:59.765981
2021-12-24 05:38:13.969464;cumulative_timer;3:25:20.414474
2021-12-24 06:00:13.889390;cumulative_timer;3:43:43.269271
2021-12-24 23:07:02.139741;pullups;7
2021-12-24 23:59:59.999999;cumulative_timer;4:00:24.968528
2021-12-25 00:01:40.050663;cumulative_timer;0:01:40.048709
2021-12-25 00:03:08.420606;cumulative_timer;0:01:54.233936
2021-12-25 00:32:38.127952;cumulative_timer;0:27:01.078227
2021-12-25 00:34:16.507755;pushups;16
2021-12-25 01:18:05.090968;cumulative_timer;0:53:32.439850
2021-12-25 01:19:52.299651;pullups;7
2021-12-25 01:26:05.913322;cumulative_timer;0:55:41.958083
2021-12-25 01:54:12.182470;cumulative_timer;1:23:31.375620
2021-12-25 02:34:26.290383;cumulative_timer;1:55:22.367675
2021-12-25 03:09:31.591972;cumulative_timer;2:25:11.884657
2021-12-25 03:14:56.486347;squats;85
2021-12-25 03:52:02.566686;cumulative_timer;2:52:59.014649
2021-12-25 03:54:04.366429;pushups;17
2021-12-25 04:25:09.056517;cumulative_timer;3:20:50.856153
2021-12-25 04:26:56.303068;pullups;7
2021-12-25 04:54:21.230593;cumulative_timer;3:46:16.903860
2021-12-25 05:21:08.888752;cumulative_timer;4:05:04.782413
2021-12-25 05:47:49.917616;cumulative_timer;4:08:02.533452
2021-12-25 06:14:41.576867;cumulative_timer;4:33:31.037511
2021-12-25 06:40:19.440240;pushups;15
2021-12-25 06:42:11.196525;cumulative_timer;4:58:37.182163
2021-12-25 06:43:46.154900;pullups;6
2021-12-25 06:51:36.735968;cumulative_timer;5:02:50.999127
2021-12-25 06:57:05.139189;cumulative_timer;5:04:12.409991
2021-12-25 22:28:03.652613;cumulative_timer;5:31:59.294061
2021-12-25 22:29:42.911463;pullups;6
2021-12-25 23:03:10.421486;cumulative_timer;5:59:31.302582
2021-12-25 23:41:46.916440;cumulative_timer;5:59:33.998513
2021-12-25 23:49:26.868920;cumulative_timer;6:06:58.037353
2021-12-25 23:59:59.999999;cumulative_timer;6:16:37.127097
2021-12-26 00:16:20.391489;cumulative_timer;0:16:20.386605
2021-12-26 00:20:16.911175;pushups;17
2021-12-26 00:35:58.186596;cumulative_timer;0:28:31.105836
2021-12-26 01:01:44.087650;cumulative_timer;0:53:45.244490
2021-12-26 07:19:53.387519;squats;100
2021-12-26 07:58:42.324957;pullups;7
2021-12-26 08:30:54.130910;pushups;13
2021-12-26 22:45:33.557401;pullups;6
2021-12-26 22:49:15.166526;cumulative_timer;0:53:55.331056
2021-12-27 01:50:18.034689;cumulative_timer;0:25:46.724927
2021-12-27 01:53:23.322257;pushups;18
2021-12-27 02:22:30.156525;cumulative_timer;0:52:19.195567
2021-12-27 03:03:31.721783;cumulative_timer;1:18:12.715143
2021-12-27 03:04:18.839631;pullups;6
2021-12-27 03:34:36.174464;cumulative_timer;1:43:51.102773
2021-12-27 04:05:04.595448;cumulative_timer;2:09:07.515352
2021-12-27 04:35:53.472588;cumulative_timer;2:34:13.604588
2021-12-27 11:36:24.026330;squats;100
2021-12-29 03:50:51.460796;cumulative_timer;0:25:14.446555
2021-12-29 03:54:12.732439;pushups;18
2021-12-29 04:02:14.203762;cumulative_timer;0:32:35.560046
2021-12-29 04:36:07.382743;cumulative_timer;0:58:01.265525
2021-12-29 04:38:06.482219;pullups;6
2021-12-29 13:33:45.114030;cumulative_timer;1:23:12.232737
